name	field	rank	overall	h_index	cites_per_paper	academic_rep	employer_rep
Harvard University	accounting-finance	1	100.0	100.0	100.0	100.0	100.0
Massachusetts Institute of Technology (MIT)	accounting-finance	2	94.3	88.0	97.4	94.8	94.5
Stanford University	accounting-finance	3	93.2	80.0	92.0	96.5	92.4
The London School of Economics and Political Science (LSE)	accounting-finance	4	91.1	95.3	90.6	92.4	87.7
University of Oxford	accounting-finance	5	90.4	78.7	89.0	89.5	96.3
University of Pennsylvania	accounting-finance	6	88.8	93.6	97.8	91.6	79.4
University of Cambridge	accounting-finance	7	88.6	69.7	77.4	89.5	97.0
University of California, Berkeley (UCB)	accounting-finance	8	88.2	88.0	95.8	88.9	84.6
University of Chicago	accounting-finance	9	87.0	74.4	86.4	94.9	78.3
New York University (NYU)	accounting-finance	10	86.9	89.9	94.6	89.4	79.3
London Business School	accounting-finance	11	86.7	82.4	93.0	89.9	80.8
Columbia University	accounting-finance	12	85.6	84.7	89.5	87.8	80.9
National University of Singapore (NUS)	accounting-finance	13	85.0	81.2	84.6	85.3	85.8
Bocconi University	accounting-finance	14	84.5	89.9	95.4	82.6	82.2
Yale University	accounting-finance	15	84.4	74.4	85.2	84.9	86.5
University of California, Los Angeles (UCLA)	accounting-finance	16	84.1	72.9	88.1	85.3	84.6
The University of Manchester	accounting-finance	17	83.6	100.0	96.5	79.4	80.8
The University of Melbourne	accounting-finance	18	83.4	86.9	89.5	82.6	81.5
The University of New South Wales (UNSW Sydney)	accounting-finance	19	83.3	91.8	89.1	82.4	80.0
HEC Paris School of Management	accounting-finance	20	82.9	81.2	83.7	84.0	81.4
The University of Sydney	accounting-finance	21	81.5	91.8	89.2	79.3	79.1
The Hong Kong University of Science and Technology	accounting-finance	22	81.4	74.4	89.0	86.1	73.5
Tsinghua University	accounting-finance	23	81.1	83.6	91.4	77.5	82.8
Peking University	accounting-finance	24	81.0	77.3	86.1	79.7	82.7
Nanyang Technological University, Singapore (NTU)	accounting-finance	25	80.9	77.3	85.5	80.4	81.5
University of Michigan-Ann Arbor	accounting-finance	26	80.8	84.7	94.4	80.8	74.8
University of Toronto	accounting-finance	27	80.7	77.3	86.3	81.2	79.1
The University of Hong Kong	accounting-finance	28	80.1	82.4	90.9	79.5	76.7
Northwestern University	accounting-finance	=29	79.4	82.4	92.1	80.5	72.3
Princeton University	accounting-finance	=29	79.4	66.1	84.7	79.7	81.5
INSEAD	accounting-finance	31	78.9	62.1	67.6	82.4	82.4
Monash University	accounting-finance	32	78.4	84.7	88.5	75.6	77.7
Imperial College London	accounting-finance	33	78.2	67.9	77.7	76.3	85.1
Cornell University	accounting-finance	=34	77.9	82.4	88.2	75.6	76.9
Shanghai Jiao Tong University	accounting-finance	=34	77.9	85.8	89.0	73.1	79.6
Tilburg University	accounting-finance	=36	77.6	93.6	95.4	77.1	67.1
University of Texas at Austin	accounting-finance	=36	77.6	75.9	83.6	79.4	73.1
Erasmus University Rotterdam	accounting-finance	38	77.5	83.6	89.9	76.9	72.4
The Chinese University of Hong Kong (CUHK)	accounting-finance	39	77.3	78.7	91.3	78.7	69.8
The University of Edinburgh	accounting-finance	40	77.0	94.5	98.8	68.2	78.4
Duke University	accounting-finance	41	76.5	69.7	86.3	78.1	72.9
The Australian National University	accounting-finance	42	76.2	81.2	83.8	74.4	74.9
University of British Columbia	accounting-finance	43	75.5	64.1	68.2	77.6	78.3
The University of Warwick	accounting-finance	44	75.4	66.1	76.3	75.8	77.6
Copenhagen Business School	accounting-finance	=45	75.3	86.9	93.4	77.9	61.1
ETH Zurich - Swiss Federal Institute of Technology	accounting-finance	=45	75.3	69.7	82.8	71.1	81.8
University of Navarra	accounting-finance	=45	75.3	74.4	76.6	73.8	77.7
The University of Queensland	accounting-finance	48	75.0	85.8	87.4	71.8	72.6
The University of Tokyo	accounting-finance	49	74.8	52.5	64.9	75.4	84.6
Seoul National University	accounting-finance	50	74.6	62.1	67.1	75.7	79.4
Lancaster University	accounting-finance	51	74.4	85.8	89.6	74.9	64.6
Singapore Management University	accounting-finance	52	74.3	84.7	92.8	73.2	66.5
The University of Auckland	accounting-finance	53	74.2	85.8	84.9	72.4	69.8
University of Amsterdam	accounting-finance	54	73.9	82.4	90.0	71.6	69.6
University of Southern California	accounting-finance	55	73.5	83.6	94.5	72.5	64.8
Stockholm School of Economics	accounting-finance	56	73.2	80.0	86.3	75.8	62.1
Korea University	accounting-finance	57	73.0	67.9	78.7	70.8	76.4
City University of Hong Kong	accounting-finance	58	72.8	84.7	94.5	72.1	62.9
The Hong Kong Polytechnic University	accounting-finance	=59	72.7	86.9	85.0	71.1	66.6
University of Illinois at Urbana-Champaign	accounting-finance	=59	72.7	78.7	90.5	72.7	64.7
National Taiwan University (NTU)	accounting-finance	61	72.6	74.4	82.9	68.9	74.6
ESSEC Business School	accounting-finance	=62	72.5	71.3	77.0	70.1	75.5
Fudan University	accounting-finance	=62	72.5	59.9	73.1	70.7	79.6
Université PSL	accounting-finance	64	72.4	57.6	73.0	68.9	82.9
University of St.Gallen (HSG)	accounting-finance	65	72.0	80.0	87.8	66.4	73.3
City, University of London	accounting-finance	=66	71.5	83.6	88.3	70.6	63.3
Universität Mannheim	accounting-finance	=66	71.5	74.4	80.8	72.9	65.1
UCL	accounting-finance	=68	71.0	62.1	77.2	65.8	80.4
University of Washington	accounting-finance	=68	71.0	80.0	89.5	69.1	64.9
KAIST - Korea Advanced Institute of Science & Technology	accounting-finance	70	70.7	64.1	64.4	71.2	74.2
University of Technology Sydney	accounting-finance	71	70.5	75.9	82.2	66.6	71.4
Pennsylvania State University	accounting-finance	72	70.4	80.0	88.7	64.6	70.9
KU Leuven	accounting-finance	=73	70.3	75.9	85.7	67.0	68.8
University of Zurich	accounting-finance	73	70.3	75.9	81.7	67.4	69.4
Boston University	accounting-finance	75	70.2	72.9	79.7	67.3	71.1
Universidad Carlos III de Madrid (UC3M)	accounting-finance	76	69.6	66.1	80.8	66.8	71.6
IE University	accounting-finance	77	69.5	66.1	64.8	68.1	74.6
The Ohio State University	accounting-finance	77	69.5	69.7	83.6	68.4	66.4
Universiti Malaya (UM)	accounting-finance	79	69.1	67.9	70.0	66.7	73.3
Alma Mater Studiorum - University of Bologna	accounting-finance	80	68.9	83.6	81.6	62.0	71.2
Zhejiang University	accounting-finance	81	68.6	78.7	80.0	58.6	78.2
Sungkyunkwan University(SKKU)	accounting-finance	82	68.5	69.7	76.3	64.1	72.9
Texas A&M University	accounting-finance	82	68.5	77.3	91.6	62.4	67.9
Macquarie University	accounting-finance	84	68.4	99.3	91.9	57.2	68.8
McGill University	accounting-finance	85	68.2	49.6	49.9	70.2	77.1
University of Bristol	accounting-finance	86	68.1	80.0	80.4	60.5	72.6
University of Birmingham	accounting-finance	87	68.0	78.7	87.4	61.1	69.5
University of Wisconsin-Madison	accounting-finance	88	67.9	85.8	89.2	62.7	63.6
Renmin (People's) University of China	accounting-finance	89	67.8	80.0	83.7	62.0	68.2
Universidad de Chile	accounting-finance	90	67.6	57.6	57.0	64.4	79.7
WU (Vienna University of Economics and Business)	accounting-finance	91	67.5	75.9	83.4	65.7	62.4
The University of Adelaide	accounting-finance	92	67.4	81.2	82.2	62.9	65.2
Deakin University	accounting-finance	93	67.3	89.0	89.0	59.8	65.2
Yonsei University	accounting-finance	94	67.2	62.1	64.2	64.2	74.8
Boston College	accounting-finance	95	67.0	77.3	92.7	64.6	59.1
York University	accounting-finance	95	67.0	81.2	86.3	63.6	61.6
University of Glasgow	accounting-finance	97	66.6	57.6	59.4	67.8	69.9
University of North Carolina, Chapel Hill	accounting-finance	97	66.6	59.9	68.4	69.7	62.9
Michigan State University	accounting-finance	99	66.5	72.9	84.3	60.5	68.3
Universidade Nova de Lisboa	accounting-finance	99	66.5	74.4	79.6	62.2	66.7
Université de Montréal	accounting-finance	99	66.5	64.1	77.0	64.2	67.6
Aalto University	accounting-finance	101-150				64.2	
Aarhus University	accounting-finance	101-150					
Arizona State University	accounting-finance	101-150		81.2	87.4		
Athens University of Economics and Business	accounting-finance	101-150					
Auckland University of Technology (AUT)	accounting-finance	101-150		80.0	85.3		
BI Norwegian Business School	accounting-finance	101-150				65.8	
Cardiff University	accounting-finance	101-150		81.2	82.7		
Carnegie Mellon University	accounting-finance	101-150				67.4	
Durham University	accounting-finance	101-150					73.8
EDHEC Business School	accounting-finance	101-150					
Hitotsubashi University	accounting-finance	101-150					75.0
Humboldt-Universität zu Berlin	accounting-finance	101-150				64.4	
Indiana University Bloomington	accounting-finance	101-150		88.0	99.5		
Keio University	accounting-finance	101-150					75.3
King Abdulaziz University (KAU)	accounting-finance	101-150					70.8
Lomonosov Moscow State University	accounting-finance	101-150					81.7
Luiss University	accounting-finance	101-150					72.4
Maastricht University	accounting-finance	101-150		78.7			
HSE University	accounting-finance	101-150					72.0
Purdue University	accounting-finance	101-150					
Queen's University at Kingston	accounting-finance	101-150					71.1
Queensland University of Technology (QUT)	accounting-finance	101-150		83.6	83.5		
Rice University	accounting-finance	101-150			84.5		
RMIT University	accounting-finance	101-150		94.5	89.3		
Shanghai University of Finance and Economics	accounting-finance	101-150		77.3	83.3	65.1	
Technical University of Munich	accounting-finance	101-150					76.8
Tecnológico de Monterrey	accounting-finance	101-150				66.7	81.8
The University of Georgia	accounting-finance	101-150		82.4	88.9		
University of Nottingham	accounting-finance	101-150					
The University of Western Australia	accounting-finance	101-150					
Trinity College Dublin, The University of Dublin	accounting-finance	101-150					72.7
Universidade de São Paulo	accounting-finance	101-150				64.6	78.3
Goethe-University Frankfurt am Main	accounting-finance	101-150					
Universitat Pompeu Fabra (Barcelona)	accounting-finance	101-150				63.9	
Université Paris 1 Panthéon-Sorbonne	accounting-finance	101-150					73.3
Universiti Putra Malaysia (UPM)	accounting-finance	101-150					
University College Dublin	accounting-finance	101-150			88.5		
University of Alberta	accounting-finance	101-150		77.3			
University of Florida	accounting-finance	101-150				64.4	
University of Lausanne	accounting-finance	101-150				65.4	
University of Leeds	accounting-finance	101-150					71.2
University of Minnesota Twin Cities	accounting-finance	101-150					
University of Pretoria	accounting-finance	101-150		96.1	96.1		
University of Reading	accounting-finance	101-150		90.9	89.6		
University of St Andrews	accounting-finance	101-150		75.9			
University of Waterloo	accounting-finance	101-150					
Victoria University of Wellington	accounting-finance	101-150					
Vrije Universiteit Amsterdam	accounting-finance	101-150		85.8	86.7		
Waseda University	accounting-finance	101-150					77.7
Western University	accounting-finance	101-150					
WHU - Otto Beisheim School of Management	accounting-finance	101-150		82.4	85.0	64.7	
American University of Beirut (AUB)	accounting-finance	151-200					74.7
American University of Sharjah	accounting-finance	151-200					70.8
Curtin University	accounting-finance	151-200		81.2	83.0		
ESCP Business School - Paris	accounting-finance	151-200					72.1
Florida International University	accounting-finance	151-200		81.2	89.0		
Florida State University	accounting-finance	151-200					
Freie Universitaet Berlin	accounting-finance	151-200					
Fundação Getulio Vargas (FGV)	accounting-finance	151-200					
Georgetown University	accounting-finance	151-200					
Georgia Institute of Technology	accounting-finance	151-200					70.8
Kobe University	accounting-finance	151-200					
Lund University	accounting-finance	151-200					
Massey University	accounting-finance	151-200		80.0	82.9		
Nanjing University	accounting-finance	151-200					
National Cheng Kung University (NCKU)	accounting-finance	151-200					
National Chengchi University	accounting-finance	151-200					
Newcastle University	accounting-finance	151-200		78.7			71.2
Osaka University	accounting-finance	151-200					72.7
Oxford Brookes University	accounting-finance	151-200					72.9
Sapienza University of Rome	accounting-finance	151-200					
Sun Yat-sen University	accounting-finance	151-200					
The American University in Cairo	accounting-finance	151-200					73.0
The University of Sheffield	accounting-finance	151-200					
Universidad Autónoma de Madrid	accounting-finance	151-200					73.7
Complutense University of Madrid	accounting-finance	151-200					74.2
Universidad Nacional de Colombia	accounting-finance	151-200					78.4
Università Cattolica del Sacro Cuore	accounting-finance	151-200					
Universitat de Barcelona	accounting-finance	151-200					
Universitat de Valencia	accounting-finance	151-200		77.3			
Universiti Kebangsaan Malaysia (UKM)	accounting-finance	151-200					
University of California, Davis	accounting-finance	151-200		77.3	83.2		
University of California, San Diego (UCSD)	accounting-finance	151-200					
University of Canterbury | Te Whare Wānanga o Waitaha	accounting-finance	151-200					
University of Cape Town	accounting-finance	151-200					
Essex, University of	accounting-finance	151-200		82.4	85.5		
The University of Exeter	accounting-finance	151-200					
University of Groningen	accounting-finance	151-200		75.9	83.7		
University of Illinois at Chicago (UIC)	accounting-finance	151-200					
University of Maryland, College Park	accounting-finance	151-200					
University of Massachusetts Amherst	accounting-finance	151-200					
University of Notre Dame	accounting-finance	151-200					
University of Otago	accounting-finance	151-200					
University of Rochester	accounting-finance	151-200				66.1	
University of South Australia	accounting-finance	151-200		84.7			
University of Southampton	accounting-finance	151-200		78.7	86.2		
University of Strathclyde	accounting-finance	151-200					
University of Texas Dallas	accounting-finance	151-200					
University of Virginia	accounting-finance	151-200					
Xiamen University	accounting-finance	151-200					
Aston University	accounting-finance	201-250		78.7			
Brigham Young University	accounting-finance	201-250		78.7			
Cairo University	accounting-finance	201-250					73.1
Chulalongkorn University	accounting-finance	201-250					
Concordia University	accounting-finance	201-250					
emlyon business school	accounting-finance	201-250					
Emory University	accounting-finance	201-250					
Hanyang University	accounting-finance	201-250					72.3
Heriot-Watt University	accounting-finance	201-250					
Indian Institute of Management (IIM) - Bangalore	accounting-finance	201-250					
International Islamic University Malaysia (IIUM)	accounting-finance	201-250					
Johns Hopkins University	accounting-finance	201-250					
King Fahd University of Petroleum & Minerals	accounting-finance	201-250					
La Trobe University	accounting-finance	201-250		75.9			
Lahore University of Management Sciences (LUMS)	accounting-finance	201-250					
Université Laval	accounting-finance	201-250		88.0	85.6		
Loughborough University	accounting-finance	201-250					
National Chiao Tung University	accounting-finance	201-250					
National Tsing Hua University	accounting-finance	201-250					
Qatar University	accounting-finance	201-250					
Queen Mary University of London	accounting-finance	201-250					
Ruprecht-Karls-Universität Heidelberg	accounting-finance	201-250					
Rutgers University–New Brunswick	accounting-finance	201-250			84.7		
Sciences Po	accounting-finance	201-250					
Sogang University	accounting-finance	201-250					
Stockholm University	accounting-finance	201-250					
United Arab Emirates University	accounting-finance	201-250					70.8
Università di Padova	accounting-finance	201-250					
Gadjah Mada University	accounting-finance	201-250					
Universitat Autònoma de Barcelona	accounting-finance	201-250					
University of Cologne	accounting-finance	201-250					
Universiti Teknologi MARA - UiTM	accounting-finance	201-250					
Universiti Utara Malaysia (UUM)	accounting-finance	201-250					
University of Bath	accounting-finance	201-250					
University of Calgary	accounting-finance	201-250					
University of Delhi	accounting-finance	201-250					
Prague University of Economics and Business	accounting-finance	201-250					
University of Geneva	accounting-finance	201-250					
Ghent University	accounting-finance	201-250					
Universitas Indonesia	accounting-finance	201-250					71.7
University of Lisbon	accounting-finance	201-250					
The University of Newcastle, Australia (UON)	accounting-finance	201-250					
University of South Carolina	accounting-finance	201-250		83.6	94.5		
University of Witwatersrand	accounting-finance	201-250		77.3			
University of Utah	accounting-finance	201-250			83.1		
University of Wollongong	accounting-finance	201-250					
Uppsala University	accounting-finance	201-250					
Washington University in St. Louis	accounting-finance	201-250					
Wuhan University	accounting-finance	201-250					
Beijing Normal University	accounting-finance	251-300					
Brunel University London	accounting-finance	251-300			87.9		
Case Western Reserve University	accounting-finance	251-300					
City University of New York	accounting-finance	251-300					
Delft University of Technology	accounting-finance	251-300					75.1
Dublin City University	accounting-finance	251-300					
Financial University under the Government of the Russian Federation	accounting-finance	251-300					
Fordham University	accounting-finance	251-300		75.9	85.1		
George Washington University	accounting-finance	251-300					
Georgia State University	accounting-finance	251-300					
Indian Institute of Technology Kharagpur (IIT-KGP)	accounting-finance	251-300					
ISCTE-IUL	accounting-finance	251-300					
King Saud University	accounting-finance	251-300					
Koç University	accounting-finance	251-300					
Kyung Hee University	accounting-finance	251-300					
McMaster University	accounting-finance	251-300					
National Sun Yat-sen University	accounting-finance	251-300					
National University of Ireland Galway	accounting-finance	251-300					
North Carolina State University	accounting-finance	251-300					
Queen's University Belfast	accounting-finance	251-300					
Sorbonne University	accounting-finance	251-300					71.7
Stellenbosch University	accounting-finance	251-300					
Tohoku University	accounting-finance	251-300					
Ca' Foscari University of Venice	accounting-finance	251-300					
University of Naples - Federico II	accounting-finance	251-300					
"University of Rome ""Tor Vergata"""	accounting-finance	251-300					
University of Pisa	accounting-finance	251-300					
Universität Innsbruck	accounting-finance	251-300					
Universiti Teknologi Malaysia	accounting-finance	251-300					
University at Buffalo SUNY	accounting-finance	251-300					
University College Cork	accounting-finance	251-300					
University of Aberdeen	accounting-finance	251-300					
The University of Arizona	accounting-finance	251-300					
University of California, Irvine	accounting-finance	251-300					
University of Central Florida	accounting-finance	251-300		75.9			
University of Colorado Boulder	accounting-finance	251-300					
University of Gothenburg	accounting-finance	251-300					
University of Iowa	accounting-finance	251-300					
University of Liverpool	accounting-finance	251-300					
University of Ljubljana	accounting-finance	251-300					
University of Missouri, Columbia	accounting-finance	251-300					
University of Pittsburgh	accounting-finance	251-300					
University of Porto	accounting-finance	251-300					
University of Stirling	accounting-finance	251-300					
University of Waikato	accounting-finance	251-300					
University of York	accounting-finance	251-300					
Utrecht University	accounting-finance	251-300					
Virginia Polytechnic Institute and State University	accounting-finance	251-300					
Warsaw School of Economics (SGH)	accounting-finance	251-300					
Xi’an Jiaotong University	accounting-finance	251-300					
Wageningen University & Research	agriculture-forestry	1	98.8	100.0	98.0	100.0	92.1
University of California, Davis	agriculture-forestry	2	93.8	97.3	95.2	92.5	90.5
Swedish University of Agricultural Sciences	agriculture-forestry	3	90.0	91.2	94.8	91.7	69.5
AgroParisTech	agriculture-forestry	4	86.5	65.4	78.1	95.5	100.0
Cornell University	agriculture-forestry	5	86.0	93.6	95.3	79.3	86.1
ETH Zurich - Swiss Federal Institute of Technology	agriculture-forestry	6	84.9	88.3	99.0	82.4	62.7
China Agricultural University	agriculture-forestry	7	84.8	86.9	86.5	84.9	76.3
University of Wisconsin-Madison	agriculture-forestry	8	84.4	90.3	93.9	81.0	70.2
University of California, Berkeley (UCB)	agriculture-forestry	9	83.1	86.7	97.0	77.0	78.9
Michigan State University	agriculture-forestry	10	83.0	89.9	93.9	77.5	75.0
Ghent University	agriculture-forestry	11	82.8	92.9	95.6	78.6	57.6
University of Reading	agriculture-forestry	12	82.0	77.3	95.6	79.9	74.4
University of Copenhagen	agriculture-forestry	13	81.5	94.1	94.8	73.9	67.7
Iowa State University	agriculture-forestry	14	81.4	86.0	91.7	76.7	75.4
Purdue University	agriculture-forestry	15	81.3	84.4	91.6	80.2	59.9
Texas A&M University	agriculture-forestry	16	80.8	83.0	89.0	77.8	75.2
University of British Columbia	agriculture-forestry	17	80.5	93.7	96.8	69.9	74.1
University of Hohenheim	agriculture-forestry	18	79.3	79.4	90.4	77.4	66.1
Norwegian University of Life Sciences	agriculture-forestry	19	79.2	79.1	91.4	84.4	28.8
Oregon State University	agriculture-forestry	19	79.2	90.8	93.0	72.7	60.6
University of Guelph	agriculture-forestry	21	79.1	87.1	90.6	70.0	85.3
The University of Tokyo	agriculture-forestry	22	78.6	81.0	86.6	74.2	80.0
Nanjing Agricultural University	agriculture-forestry	23	78.1	85.4	90.1	71.5	72.2
Pennsylvania State University	agriculture-forestry	24	77.8	87.5	94.8	68.8	68.9
University of Florida	agriculture-forestry	25	77.7	88.3	88.2	71.3	67.1
University of Göttingen	agriculture-forestry	26	77.4	83.0	92.2	71.3	66.7
The University of Queensland	agriculture-forestry	26	77.4	92.2	94.2	64.4	78.9
Aarhus University	agriculture-forestry	28	77.2	86.9	93.2	70.0	61.9
University of Illinois at Urbana-Champaign	agriculture-forestry	29	76.9	85.8	90.6	73.0	50.7
University of Natural Resources and Applied Life Sciences Vienna	agriculture-forestry	30	76.8	82.0	93.6	73.9	47.4
The Ohio State University	agriculture-forestry	31	76.5	85.1	91.3	68.5	70.0
Technical University of Munich	agriculture-forestry	32	76.2	79.4	91.9	73.2	53.7
North Carolina State University	agriculture-forestry	33	76.0	87.1	91.0	73.4	36.8
Massey University	agriculture-forestry	34	75.7	76.7	90.7	68.8	77.7
University of Massachusetts Amherst	agriculture-forestry	35	75.5	86.0	99.3	65.0	59.6
University of Minnesota Twin Cities	agriculture-forestry	36	75.1	94.2	94.8	63.7	54.7
The University of Georgia	agriculture-forestry	37	74.9	86.0	89.6	66.9	63.0
Zhejiang University	agriculture-forestry	37	74.9	88.5	91.7	63.9	68.9
The Australian National University	agriculture-forestry	39	74.3	86.5	97.3	60.6	72.0
Kansas State University	agriculture-forestry	40	74.2	80.2	88.9	63.6	85.7
South China Agricultural University	agriculture-forestry	40	74.2	73.4	81.9	72.6	68.2
Seoul National University	agriculture-forestry	42	74.1	73.8	87.0	70.6	66.1
Kyoto University	agriculture-forestry	43	73.9	75.1	82.3	71.3	67.3
Alma Mater Studiorum - University of Bologna	agriculture-forestry	44	73.7	79.6	90.0	65.0	72.7
Washington State University	agriculture-forestry	44	73.7	84.9	91.3	65.8	55.1
Colorado State University	agriculture-forestry	46	73.6	88.3	95.1	57.7	81.1
Universidade de São Paulo	agriculture-forestry	46	73.6	86.2	83.4	64.1	76.5
University of Helsinki	agriculture-forestry	48	73.4	86.2	92.8	65.6	48.2
Universidade Estadual de Campinas (Unicamp)	agriculture-forestry	49	73.1	83.7	90.6	62.8	68.1
The University of Edinburgh	agriculture-forestry	49	73.1	83.7	96.7	61.3	63.7
The University of Western Australia	agriculture-forestry	51	73.0	91.5	96.4	57.8	65.1
University College Dublin	agriculture-forestry	51	73.0	81.0	94.6	61.1	73.0
McGill University	agriculture-forestry	53	72.7	84.9	94.2	61.9	59.7
Universitat Politècnica de València	agriculture-forestry	54	72.4	77.9	93.6	65.7	52.2
The University of Melbourne	agriculture-forestry	55	72.3	84.9	93.3	57.7	78.1
University of Nebraska - Lincoln	agriculture-forestry	55	72.3	82.0	90.9	59.8	78.4
University College Cork	agriculture-forestry	57	72.0	77.6	96.1	62.0	62.6
Lund University	agriculture-forestry	58	71.9	82.0	94.1	63.9	46.9
Tokyo University of Agriculture and Technology	agriculture-forestry	58	71.9	61.8	77.4	73.5	73.4
Northwest Agriculture and Forestry University	agriculture-forestry	60	71.8	84.0	86.4	69.6	29.1
The University of Sydney	agriculture-forestry	60	71.8	88.3	93.7	55.6	76.1
Bogor Agricultural University	agriculture-forestry	62	71.3	62.4	72.0	71.6	86.1
Kasetsart University	agriculture-forestry	63	71.1	67.6	78.9	69.6	70.0
Montpellier SupAgro	agriculture-forestry	63	71.1	63.4	68.0	75.9	68.8
Nanyang Technological University, Singapore (NTU)	agriculture-forestry	65	71.0	67.2	86.2	65.9	73.8
Stellenbosch University	agriculture-forestry	66	70.8	81.0	89.6	62.1	56.0
Huazhong Agricultural University	agriculture-forestry	67	70.7	84.0	91.4	61.9	46.3
Universidad Politécnica de Madrid (UPM)	agriculture-forestry	68	70.6	75.1	90.6	63.3	58.5
Virginia Polytechnic Institute and State University	agriculture-forestry	68	70.6	78.5	86.5	62.7	62.6
Hokkaido University	agriculture-forestry	70	70.5	76.1	81.4	63.1	74.5
University of Nottingham	agriculture-forestry	70	70.5	78.2	93.0	60.9	58.2
Warsaw University of Life Sciences – SGGW (WULS-SGGW)	agriculture-forestry	70	70.5	71.3	81.7	70.2	48.4
Yale University	agriculture-forestry	70	70.5	86.5	97.2	55.6	59.2
The University of Adelaide	agriculture-forestry	74	70.4	85.6	93.6	56.5	63.4
The University of Arizona	agriculture-forestry	74	70.4	88.1	94.8	56.8	53.8
Jiangnan University	agriculture-forestry	76	70.2	78.8	89.8	62.4	53.0
Albert-Ludwigs-Universitaet Freiburg	agriculture-forestry	77	69.9	80.2	93.7	62.9	36.6
Peking University	agriculture-forestry	78	69.8	79.4	93.0	56.7	69.2
Pontificia Universidad Católica de Chile (UC)	agriculture-forestry	78	69.8	74.1	89.1	56.6	89.0
Universiti Putra Malaysia (UPM)	agriculture-forestry	80	69.7	78.5	83.6	61.5	64.8
University of California, Riverside	agriculture-forestry	80	69.7	82.8	94.4	65.4	15.7
University of Saskatchewan	agriculture-forestry	82	69.4	77.9	87.9	59.6	64.2
Rheinische Friedrich-Wilhelms-Universität Bonn	agriculture-forestry	83	69.3	79.1	90.7	60.4	51.7
Estonian University of Life Sciences	agriculture-forestry	84	69.2	64.9	80.8	73.0	36.0
University of Leeds	agriculture-forestry	85	69.1	82.5	97.0	58.6	39.4
University of Alberta	agriculture-forestry	86	69.0	83.5	90.8	55.3	64.7
Università di Padova	agriculture-forestry	87	68.9	80.5	89.4	56.7	66.1
University of Agriculture, Faisalabad	agriculture-forestry	87	68.9	74.1	81.7	61.6	68.9
Lincoln University	agriculture-forestry	89	68.8	73.8	90.2	58.7	66.4
Duke University	agriculture-forestry	90	68.7	88.3	98.1	50.6	61.2
University of Vienna	agriculture-forestry	90	68.7	84.4	96.5	56.0	45.6
Beijing Forestry University	agriculture-forestry	92	68.6	77.0	79.5	66.2	41.5
Universitat de Barcelona	agriculture-forestry	92	68.6	81.3	91.9	54.0	69.4
Universidade Federal de Viçosa (UFV)	agriculture-forestry	94	68.5	77.9	78.9	64.3	49.8
Korea University	agriculture-forestry	95	68.4	73.1	86.9	60.2	62.7
University of Aberdeen	agriculture-forestry	96	68.3	79.6	98.3	54.6	54.6
University of Toronto	agriculture-forestry	97	68.2	86.0	93.7	52.8	58.6
University of Maryland, College Park	agriculture-forestry	98	68.1	89.5	96.7	51.7	49.9
Nagoya University	agriculture-forestry	99	68.0	71.6	87.1	59.5	64.6
University of Bristol	agriculture-forestry	100	67.9	83.5	97.1	51.1	62.2
Aberystwyth University	agriculture-forestry	101-150					
Agrocampus Ouest	agriculture-forestry	101-150				59.8	
Arizona State University	agriculture-forestry	101-150		82.0	91.9		
Christian-Albrechts-University zu Kiel	agriculture-forestry	101-150					70.0
Czech University of Life Sciences in Prague	agriculture-forestry	101-150				66.8	
Humboldt-Universität zu Berlin	agriculture-forestry	101-150					65.0
King Abdulaziz University (KAU)	agriculture-forestry	101-150		84.7	100.0		
Kyung Hee University	agriculture-forestry	101-150					
Kyushu University	agriculture-forestry	101-150				61.3	65.3
Université Laval	agriculture-forestry	101-150					64.3
National Chung Hsing University	agriculture-forestry	101-150				58.4	
National Taiwan University (NTU)	agriculture-forestry	101-150					
Newcastle University	agriculture-forestry	101-150			93.2		
Rutgers University–New Brunswick	agriculture-forestry	101-150		80.2	94.5		
Scottish Agricultural College (SAC)	agriculture-forestry	101-150				60.8	
Shanghai Jiao Tong University	agriculture-forestry	101-150			92.3		75.0
Sorbonne University	agriculture-forestry	101-150		83.7	93.8		71.0
South China University of Technology	agriculture-forestry	101-150		79.6		57.9	
Technische Universität Berlin (TU Berlin)	agriculture-forestry	101-150				59.6	
The University of Sheffield	agriculture-forestry	101-150		81.3	97.8		
Tohoku University	agriculture-forestry	101-150				58.7	71.4
Umea University	agriculture-forestry	101-150		79.1	96.9		
Universidad Autónoma de Madrid	agriculture-forestry	101-150			93.8		
Complutense University of Madrid	agriculture-forestry	101-150					
Universidad de Buenos Aires (UBA)	agriculture-forestry	101-150					80.4
Universidad de Chile	agriculture-forestry	101-150					74.6
Universidad de Córdoba	agriculture-forestry	101-150				58.0	
University of Granada	agriculture-forestry	101-150			91.7		
Universidad de Zaragoza	agriculture-forestry	101-150					
Universidad Nacional de Colombia	agriculture-forestry	101-150					74.1
UNESP	agriculture-forestry	101-150				58.5	66.5
University of Florence	agriculture-forestry	101-150					
University of Milan	agriculture-forestry	101-150		79.6			
University of Naples - Federico II	agriculture-forestry	101-150		81.0	91.6		
University of Turin	agriculture-forestry	101-150		79.1			
Universitat Autònoma de Barcelona	agriculture-forestry	101-150		80.2			
Universitat de Valencia	agriculture-forestry	101-150		81.3	93.0		
Université catholique de Louvain (UCLouvain)	agriculture-forestry	101-150			96.2		
